date,machine,cpu,config,operation,latency_ns,throughput_bytes_s,commit
2026-05-26,apple-m4-pro,Apple M4 Pro,baseline,compression,31483.15,33305937974,
2026-05-26,apple-m4-pro,Apple M4 Pro,baseline,context_switch,2365.08,,
2026-05-26,apple-m4-pro,Apple M4 Pro,baseline,decompression,76313.55,13740364830,
2026-05-26,apple-m4-pro,Apple M4 Pro,baseline,deserialization_fast,52.45,2974049433,
2026-05-26,apple-m4-pro,Apple M4 Pro,baseline,deserialization,229.03,624368781,
2026-05-26,apple-m4-pro,Apple M4 Pro,baseline,hash_crypto,225.90,283313109,
2026-05-26,apple-m4-pro,Apple M4 Pro,baseline,hash_non_crypto,25.11,2548890897,
2026-05-26,apple-m4-pro,Apple M4 Pro,baseline,hash_siphash,18.72,3418362417,
2026-05-26,apple-m4-pro,Apple M4 Pro,baseline,mem_random_rw,60861033.13,17642517202,
2026-05-26,apple-m4-pro,Apple M4 Pro,baseline,seq_mem_read_single,42297335.43,101542266256,
2026-05-26,apple-m4-pro,Apple M4 Pro,baseline,seq_mem_read_threaded,18366658.88,233845868397,
2026-05-26,apple-m4-pro,Apple M4 Pro,baseline,serialization_fast,31.62,4933577428,
2026-05-26,apple-m4-pro,Apple M4 Pro,baseline,serialization,325.69,439067893,
2026-05-26,apple-m4-pro,Apple M4 Pro,baseline,sort_64bit,,1137916844,
2026-05-26,apple-m4-pro,Apple M4 Pro,baseline,ssd_read_random,140856.80,58158357,
2026-05-26,apple-m4-pro,Apple M4 Pro,baseline,ssd_read_seq,705.02,11619508215,
2026-05-26,apple-m4-pro,Apple M4 Pro,baseline,ssd_write_fsync,4126260.76,1985333,
2026-05-26,apple-m4-pro,Apple M4 Pro,baseline,ssd_write_no_fsync,3695.69,2216639121,
2026-05-26,apple-m4-pro,Apple M4 Pro,baseline,syscall,17.12,,
2026-05-26,apple-m4-pro,Apple M4 Pro,baseline,tcp_echo,20816.08,1574167964,
2026-05-27,gcp-c4-standard-8-lssd,Intel Xeon 6985P,bench_stable,compression,34742.71,30181179063,
2026-05-27,gcp-c4-standard-8-lssd,Intel Xeon 6985P,bench_stable,context_switch,3260.89,,
2026-05-27,gcp-c4-standard-8-lssd,Intel Xeon 6985P,bench_stable,decompression,160922.25,6516041104,
2026-05-27,gcp-c4-standard-8-lssd,Intel Xeon 6985P,bench_stable,deserialization_fast,64.68,2411904780,
2026-05-27,gcp-c4-standard-8-lssd,Intel Xeon 6985P,bench_stable,deserialization,305.58,467956262,
2026-05-27,gcp-c4-standard-8-lssd,Intel Xeon 6985P,bench_stable,hash_crypto,116.40,549831712,
2026-05-27,gcp-c4-standard-8-lssd,Intel Xeon 6985P,bench_stable,hash_non_crypto,40.07,1597346343,
2026-05-27,gcp-c4-standard-8-lssd,Intel Xeon 6985P,bench_stable,hash_siphash,39.98,1600982550,
2026-05-27,gcp-c4-standard-8-lssd,Intel Xeon 6985P,bench_stable,mem_random_rw,217.59,294131632,
2026-05-27,gcp-c4-standard-8-lssd,Intel Xeon 6985P,bench_stable,seq_mem_read_single,31.06,2060260537,
2026-05-27,gcp-c4-standard-8-lssd,Intel Xeon 6985P,bench_stable,seq_mem_read_threaded,61168259.18,70215620869,
2026-05-27,gcp-c4-standard-8-lssd,Intel Xeon 6985P,bench_stable,serialization_fast,44.06,3540400020,
2026-05-27,gcp-c4-standard-8-lssd,Intel Xeon 6985P,bench_stable,serialization,481.65,296896086,
2026-05-27,gcp-c4-standard-8-lssd,Intel Xeon 6985P,bench_stable,sort_64bit,,710417318,
2026-05-27,gcp-c4-standard-8-lssd,Intel Xeon 6985P,bench_stable,ssd_read_random,93215.28,87882588,
2026-05-27,gcp-c4-standard-8-lssd,Intel Xeon 6985P,bench_stable,ssd_read_seq,1052.39,7784182046,
2026-05-27,gcp-c4-standard-8-lssd,Intel Xeon 6985P,bench_stable,ssd_write_fsync,154870.09,52895948,
2026-05-27,gcp-c4-standard-8-lssd,Intel Xeon 6985P,bench_stable,ssd_write_no_fsync,15222.36,538155768,
2026-05-27,gcp-c4-standard-8-lssd,Intel Xeon 6985P,bench_stable,syscall,103.21,,
2026-05-27,gcp-c4-standard-8-lssd,Intel Xeon 6985P,bench_stable,tcp_echo,52574.16,623271913,
2026-05-28,gcp-c4-standard-8-lssd,Intel(R) Xeon(R) 6985P-C CPU @ 2.30GHz,bench_stable,compression,34532.40,30364992593,
2026-05-28,gcp-c4-standard-8-lssd,Intel(R) Xeon(R) 6985P-C CPU @ 2.30GHz,bench_stable,context_switch,2743.69,,
2026-05-28,gcp-c4-standard-8-lssd,Intel(R) Xeon(R) 6985P-C CPU @ 2.30GHz,bench_stable,decompression,161932.74,6475380001,
2026-05-28,gcp-c4-standard-8-lssd,Intel(R) Xeon(R) 6985P-C CPU @ 2.30GHz,bench_stable,deserialization_fast,64.72,2410343367,
2026-05-28,gcp-c4-standard-8-lssd,Intel(R) Xeon(R) 6985P-C CPU @ 2.30GHz,bench_stable,deserialization,315.64,453043101,
2026-05-28,gcp-c4-standard-8-lssd,Intel(R) Xeon(R) 6985P-C CPU @ 2.30GHz,bench_stable,hash_crypto,117.30,545594867,
2026-05-28,gcp-c4-standard-8-lssd,Intel(R) Xeon(R) 6985P-C CPU @ 2.30GHz,bench_stable,hash_non_crypto,39.55,1618046414,
2026-05-28,gcp-c4-standard-8-lssd,Intel(R) Xeon(R) 6985P-C CPU @ 2.30GHz,bench_stable,hash_siphash,40.74,1571124761,
2026-05-28,gcp-c4-standard-8-lssd,Intel(R) Xeon(R) 6985P-C CPU @ 2.30GHz,bench_stable,mem_random_rw,220.94,289675260,
2026-05-28,gcp-c4-standard-8-lssd,Intel(R) Xeon(R) 6985P-C CPU @ 2.30GHz,bench_stable,seq_mem_read_single,240010838.76,17894888906,
2026-05-28,gcp-c4-standard-8-lssd,Intel(R) Xeon(R) 6985P-C CPU @ 2.30GHz,bench_stable,seq_mem_read_threaded,59520537.51,72159417169,
2026-05-28,gcp-c4-standard-8-lssd,Intel(R) Xeon(R) 6985P-C CPU @ 2.30GHz,bench_stable,serialization_fast,44.24,3526391215,
2026-05-28,gcp-c4-standard-8-lssd,Intel(R) Xeon(R) 6985P-C CPU @ 2.30GHz,bench_stable,serialization,486.63,293857950,
2026-05-28,gcp-c4-standard-8-lssd,Intel(R) Xeon(R) 6985P-C CPU @ 2.30GHz,bench_stable,sort_64bit,,704341131,
2026-05-28,gcp-c4-standard-8-lssd,Intel(R) Xeon(R) 6985P-C CPU @ 2.30GHz,bench_stable,ssd_read_random,93716.84,87412256,
2026-05-28,gcp-c4-standard-8-lssd,Intel(R) Xeon(R) 6985P-C CPU @ 2.30GHz,bench_stable,ssd_read_seq,1042.11,7860982026,
2026-05-28,gcp-c4-standard-8-lssd,Intel(R) Xeon(R) 6985P-C CPU @ 2.30GHz,bench_stable,ssd_write_fsync,149556.21,54775392,
2026-05-28,gcp-c4-standard-8-lssd,Intel(R) Xeon(R) 6985P-C CPU @ 2.30GHz,bench_stable,ssd_write_no_fsync,15693.07,522013880,
2026-05-28,gcp-c4-standard-8-lssd,Intel(R) Xeon(R) 6985P-C CPU @ 2.30GHz,bench_stable,syscall,103.68,,
2026-05-28,gcp-c4-standard-8-lssd,Intel(R) Xeon(R) 6985P-C CPU @ 2.30GHz,bench_stable,tcp_echo,46147.51,710070891,
2026-05-28,gcp-c4a-standard-8-lssd,Google Axion (Neoverse V2),bench_stable,compression,47641.44,22009747895,
2026-05-28,gcp-c4a-standard-8-lssd,Google Axion (Neoverse V2),bench_stable,context_switch,3182.72,,
2026-05-28,gcp-c4a-standard-8-lssd,Google Axion (Neoverse V2),bench_stable,decompression,129445.38,8100528799,
2026-05-28,gcp-c4a-standard-8-lssd,Google Axion (Neoverse V2),bench_stable,deserialization_fast,107.08,1456849345,
